topik,keywords
pengajuan bantuan,pengajuan bantuan
pencairan saldo ukt,pencairan saldo
cek siam untuk tagihan,tagihan ukt
kriteria 50,diskon 50
registrasi mahasiswa lama,mahasiswa lama
jadwal bantuan,jadwal bantuan
tata cara pembayaran,pembayaran
banding ukt mahasiswa,banding ukt
terlambat pengajuan bantuan,pengurangan ukt
pencairan beasiswa kemendikbud,pencairan beasiswa
tidak dapat upload berkas yudisium,yudisium
bantuan ukt dan ukt kemendikbud ristek,bantuan ukt
tahapan pendaftaran wisuda,wisuda
tagihan ukt potongan 50 muncul kembali,muncul kembali
sisa tagihan 50,sisa tagihan
angsur sap,angsur sap
ktm tersedia,ktm
pengajuan st dospem dan reward prestasi,reward prestasi
kip kuliah,kip kuliah
verifikasi skm,verifikasi skm
rekomendasi magang mandiri dan mbkm,rekomendasi magang
pengajuan st dosen pembimbing lomba,pendukung reward
rekomendasi magang dan mbkm,mbkm
presensi perkuliahan,presensi
pengambilan sertifikat toefl,toefl
surat pengantar penelitian skripsi,pengantar penelitian
surat aktif kuliah,aktif kuliah
perihal kehilangan transkrip nilai kuliah,transkrip
layanan,layanan akademik
proposal skripsi di luar jadwal jtif,proposal skripsi
" peminjaman fasilitas lab",peminjaman fasilitas
konversi mk perpindahan prodi,perpindahan prodi
" foto yudisium sc218",terima kasih
" kontak hp daring kps tif  tekom",daring kps
pembatalan mk pkl skripsi,pembatalan
syarat menempuh mk lintas prodi,lintas prodi
perpindahan prodi akreditasi b ke a,sistem informasi
perubahan judul skripsi filkom apps,perubahan judul
alur get nim mahasiswa filkom ub,dapat nim
" prosedur buka blokir telat pembayaran  pengajuan validasi di luar jadwal",luar jadwal
penambahan sks melebihi batas maksimum mk dari ip beban jtif,kaprodi tif
validasi dosen pa pada krs siam mahasiswa masih dalam jadwal,dalam jadwal
proses sertifikasi it belum ada jawaban,ada jawaban
prasyarat perpindahan stream keminatan,prasyarat perpindahan
pengajuan proposal skripsi di luar jadwal jtif,jadwal jtif
dosen pembimbing ujian skripsi tidak hadir salah satu,ujian skripsi
pengajuan praproposal terkendala,pengajuan praproposal
" tombol revisi proposal skripsi pada filkom apps",revisi proposal
skl  transkrip,untuk transkrip
transkrip final validasi rektor dan dekan,rektor dan
sertifikasi it,yang disediakan
pengambilan ijazah non prosesi,ijazah
pengajuan transkrip keperluan beasiswa mhs do semhas validasi kps dll,transkrip
layanan ruang baca filkom ub,ruang baca
" turnitin prasyarat sd melihat hasil turnitin",turnitin
transkrip legalisir,transkrip legalisir
persyaratan semhas  ujian skripsi filkom,seminar hasil
ujian khusus filkom ub,"ujian filkom "
foto yudisium,foto yudisium
" turnitin",turnitin
pengambilan ktm,pengambilan ktm
pembayaran diluar jadwal registrasi,luar jadwal
surat rekomendasi beasiswa,surat keterangan
bebas pustaka ub,bebas pustaka
"  batas akhir pendaftaran semhas ujian skripsi",pendaftaran semhas
" bebas tanggungan laboratorium filkom ub",laboratorium filkom
form pasca ujian skripsi,ujian skripsi
"  pkl  mbkm",mbkm
yudisium,yudisium
pendaftaran yudisium filkom ub,pendaftaran yudisium
toefl,link berikut
permasalahan sibaku,sibaku
perkuliahan hybrid,hybrid
mahasiswa kritis sudah ujian  status do,pada smt
ukt mhs ujian skripsi belum yudisium selain kritis,belum mendaftar
" link data uji",biasanya pada
batas sks beban mhs,figure
batas konversi nilai ke huruf,figure
bantuan ukt,bantuan ukt
daftar ulang,daftar ulang
permohonan perpanjangan mahasiswa do diluar skripsi,mahasiswa do
pendataan kelas penuh,pendataan kelas
validasi krs jtif terlambat,validasi krs
ijazah,target
legalisir ijazah,legalisir ijazah
list dosen minat skripsi,true terimakasih
" legalisir khs dll dtif",dll dtif
tidak bisa mengikuti perkuliahan luring hybrid,tidak bisa
status wisuda belum valid,wisuda tidak valid
peminjaman ijazah,ijazah
"  perubahan judul skripsi",judul skripsi
tidak bisa mengikuti uas luring dan terpadu,bisa mengikuti
skl dan transkrip sementara,terimakasih telah
revisi skripsi,ketua departemen
kip k,kip
pengajuan nilai praktikum,web terimakasih
" kkn 2020",tata tertibkkn
pendaftaran seminar hasil ujian skripsi filkom ub,seminar hasil
nilai pkm  kkn,nilai kkn
psik  permasalahan telah diproses tiket ditutup,psik permasalahan
nilai mbkm belum keluar 20212,"selamat pagi,bagi"
perpanjangan skripsi,mahasiswa yang
perpanjangan masa studi filkom 2022 2023 ganjil,masa studi
alur pasca ujian skripsi,pasca ujian
validasi wisuda  jurnal toefl ti,sertifikat toefl